atom_id,category,seed_count,seed_lemma_count,total_keys,zero_flag,thin_flag,pos_n_pct,pos_v_pct,pos_adj_pct,pos_adv_pct,sibling_ratio_pct,unique_keys,unique_ratio_pct,mean_atoms_per_word,p95_atoms_per_word,generic_at_5pct,generic_at_10pct,generic_at_20pct,top1_overlap_atom,top1_overlap_count,top1_jaccard,top5_overlap_json,sym_pair,sym_overlap_keys,sym_from_antonym,sym_from_sibling,remaining_after_5pct,remaining_after_10pct,remaining_after_20pct
ABS.bound,ABS,6,21,537,False,False,30.0,67.6,2.4,0,47.2,136,25.3,6.39,25,57,9,0,ACT.agitate,182,0.213,"[{""atom"": ""ACT.agitate"", ""overlap"": 182, ""jaccard"": 0.213}, {""atom"": ""ACT.exit"", ""overlap"": 181, ""jaccard"": 0.212}, {""atom"": ""ACT.leave"", ""overlap"": 179, ""jaccard"": 0.265}, {""atom"": ""ACT.move"", ""overlap"": 124, ""jaccard"": 0.035}, {""atom"": ""FND.transformation"", ""overlap"": 79, ""jaccard"": 0.025}]",ABS.release,3,0,2,480,528,537
ABS.exempt,ABS,6,10,698,False,False,91.7,7.2,1.1,0,93.0,9,1.3,13.99,18,125,2,0,SOC.individual,649,0.09,"[{""atom"": ""SOC.individual"", ""overlap"": 649, ""jaccard"": 0.09}, {""atom"": ""EXS.being"", ""overlap"": 645, ""jaccard"": 0.136}, {""atom"": ""LOG.cause"", ""overlap"": 642, ""jaccard"": 0.183}, {""atom"": ""ACT.move"", ""overlap"": 636, ""jaccard"": 0.199}, {""atom"": ""REL.same"", ""overlap"": 632, ""jaccard"": 0.688}]",ABS.responsibility,1,0,2,573,696,698
ABS.foolish,ABS,6,20,102,False,False,8.8,0,91.2,0,0.0,63,61.8,1.81,5,0,0,0,SOC.individual,8,0.001,"[{""atom"": ""SOC.individual"", ""overlap"": 8, ""jaccard"": 0.001}, {""atom"": ""STA.illness"", ""overlap"": 4, ""jaccard"": 0.004}, {""atom"": ""FND.information"", ""overlap"": 3, ""jaccard"": 0.003}, {""atom"": ""ABS.wise"", ""overlap"": 3, ""jaccard"": 0.017}, {""atom"": ""FND.play"", ""overlap"": 3, ""jaccard"": 0.006}]",ABS.wise,3,1,0,102,102,102
ABS.other,ABS,6,4,36,False,False,5.6,2.8,91.7,0,0.0,5,13.9,2.58,6,0,0,0,REL.different,28,0.636,"[{""atom"": ""REL.different"", ""overlap"": 28, ""jaccard"": 0.636}, {""atom"": ""SOC.individual"", ""overlap"": 3, ""jaccard"": 0.0}, {""atom"": ""TIM.past"", ""overlap"": 2, ""jaccard"": 0.008}, {""atom"": ""ELM.morning"", ""overlap"": 2, ""jaccard"": 0.006}, {""atom"": ""PRP.new"", ""overlap"": 2, ""jaccard"": 0.024}]",ABS.self,0,0,0,36,36,36
ABS.release,ABS,6,20,145,False,False,63.4,35.2,1.4,0,31.7,48,33.1,4.74,16,9,2,0,CHG.end,21,0.019,"[{""atom"": ""CHG.end"", ""overlap"": 21, ""jaccard"": 0.019}, {""atom"": ""FND.transformation"", ""overlap"": 21, ""jaccard"": 0.007}, {""atom"": ""ECO.withdraw"", ""overlap"": 20, ""jaccard"": 0.051}, {""atom"": ""ACT.emit"", ""overlap"": 16, ""jaccard"": 0.029}, {""atom"": ""ABS.exempt"", ""overlap"": 14, ""jaccard"": 0.017}]",ABS.bound,3,1,1,136,143,145
ABS.responsibility,ABS,6,8,152,False,False,80.9,5.3,13.8,0,34.9,75,49.3,3.34,15,7,0,0,WLD.realm,18,0.081,"[{""atom"": ""WLD.realm"", ""overlap"": 18, ""jaccard"": 0.081}, {""atom"": ""ECO.save"", ""overlap"": 18, ""jaccard"": 0.052}, {""atom"": ""SPC.place"", ""overlap"": 12, ""jaccard"": 0.011}, {""atom"": ""SOC.work"", ""overlap"": 11, ""jaccard"": 0.008}, {""atom"": ""VAL.truth"", ""overlap"": 8, ""jaccard"": 0.018}]",ABS.exempt,1,0,0,145,152,152
ABS.self,ABS,6,13,890,False,False,99.6,0.3,0.1,0,95.7,6,0.7,11.32,17,122,1,0,SOC.individual,643,0.086,"[{""atom"": ""SOC.individual"", ""overlap"": 643, ""jaccard"": 0.086}, {""atom"": ""EXS.being"", ""overlap"": 639, ""jaccard"": 0.129}, {""atom"": ""LOG.cause"", ""overlap"": 638, ""jaccard"": 0.172}, {""atom"": ""SOC.family"", ""overlap"": 635, ""jaccard"": 0.152}, {""atom"": ""REL.same"", ""overlap"": 633, ""jaccard"": 0.57}]",ABS.other,0,0,0,768,889,890
ABS.wise,ABS,6,10,73,False,False,31.5,0,68.5,0,15.3,26,35.6,3.49,15,3,0,0,SPC.direction,19,0.03,"[{""atom"": ""SPC.direction"", ""overlap"": 19, ""jaccard"": 0.03}, {""atom"": ""PER.touch"", ""overlap"": 7, ""jaccard"": 0.01}, {""atom"": ""FND.spatiality"", ""overlap"": 7, ""jaccard"": 0.013}, {""atom"": ""PRP.bright"", ""overlap"": 5, ""jaccard"": 0.034}, {""atom"": ""PER.fragrance"", ""overlap"": 5, ""jaccard"": 0.022}]",ABS.foolish,3,2,0,70,73,73
ACT.abandon,ACT,6,9,163,False,False,16.6,82.2,1.2,0,47.2,23,14.1,6.13,21,12,4,0,ACT.leave,80,0.2,"[{""atom"": ""ACT.leave"", ""overlap"": 80, ""jaccard"": 0.2}, {""atom"": ""ACT.exit"", ""overlap"": 69, ""jaccard"": 0.117}, {""atom"": ""FND.transformation"", ""overlap"": 29, ""jaccard"": 0.01}, {""atom"": ""ACT.move"", ""overlap"": 26, ""jaccard"": 0.008}, {""atom"": ""SOC.homeless"", ""overlap"": 22, ""jaccard"": 0.014}]",ACT.build,6,0,3,151,159,163
ACT.agitate,ACT,6,24,501,False,False,10.6,88.6,0.8,0,71.7,24,4.8,9.12,27,84,13,0,ACT.move,282,0.084,"[{""atom"": ""ACT.move"", ""overlap"": 282, ""jaccard"": 0.084}, {""atom"": ""SOC.homeless"", ""overlap"": 220, ""jaccard"": 0.129}, {""atom"": ""ACT.rise"", ""overlap"": 191, ""jaccard"": 0.218}, {""atom"": ""ACT.exit"", ""overlap"": 188, ""jaccard"": 0.232}, {""atom"": ""CHG.advance"", ""overlap"": 183, ""jaccard"": 0.234}]",ACT.calm,3,0,3,417,488,501
ACT.arrive,ACT,6,14,166,False,False,13.9,85.5,0.6,0,39.8,3,1.8,9.23,34,29,10,0,TIM.come,125,0.31,"[{""atom"": ""TIM.come"", ""overlap"": 125, ""jaccard"": 0.31}, {""atom"": ""ACT.move"", ""overlap"": 45, ""jaccard"": 0.014}, {""atom"": ""ECO.earn"", ""overlap"": 40, ""jaccard"": 0.115}, {""atom"": ""FND.transformation"", ""overlap"": 33, ""jaccard"": 0.011}, {""atom"": ""EXS.being"", ""overlap"": 32, ""jaccard"": 0.007}]",ACT.exit,13,0,14,137,156,166
ACT.ascend,ACT,6,10,375,False,False,8.5,91.5,0,0,85.5,7,1.9,17.68,31,192,17,0,ACT.rise,325,0.528,"[{""atom"": ""ACT.rise"", ""overlap"": 325, ""jaccard"": 0.528}, {""atom"": ""CHG.grow"", ""overlap"": 316, ""jaccard"": 0.278}, {""atom"": ""FND.transformation"", ""overlap"": 315, ""jaccard"": 0.112}, {""atom"": ""ACT.stand"", ""overlap"": 313, ""jaccard"": 0.511}, {""atom"": ""CHG.retreat"", ""overlap"": 301, ""jaccard"": 0.491}]",ACT.descend,299,0,331,183,358,375
ACT.build,ACT,6,10,1109,False,False,28.0,69.4,2.6,0,10.7,6,0.5,7.52,22,127,11,0,ACT.make,1067,0.644,"[{""atom"": ""ACT.make"", ""overlap"": 1067, ""jaccard"": 0.644}, {""atom"": ""ACT.create"", ""overlap"": 1066, ""jaccard"": 0.557}, {""atom"": ""FND.transformation"", ""overlap"": 172, ""jaccard"": 0.046}, {""atom"": ""ACT.move"", ""overlap"": 153, ""jaccard"": 0.037}, {""atom"": ""SOC.individual"", ""overlap"": 146, ""jaccard"": 0.018}]",ACT.abandon,6,0,3,982,1098,1109
ACT.calm,ACT,6,22,128,False,False,35.9,56.2,7.8,0,20.9,32,25.0,5.3,17,11,0,0,PRP.soft,32,0.158,"[{""atom"": ""PRP.soft"", ""overlap"": 32, ""jaccard"": 0.158}, {""atom"": ""FND.transformation"", ""overlap"": 25, ""jaccard"": 0.009}, {""atom"": ""ACT.create"", ""overlap"": 18, ""jaccard"": 0.009}, {""atom"": ""SOC.rest"", ""overlap"": 16, ""jaccard"": 0.043}, {""atom"": ""EXS.void"", ""overlap"": 15, ""jaccard"": 0.015}]",ACT.agitate,3,1,3,117,128,128
ACT.create,ACT,6,5,1872,False,False,17.9,80.4,1.6,0,40.7,12,0.6,10.7,25,374,21,0,ACT.make,1169,0.504,"[{""atom"": ""ACT.make"", ""overlap"": 1169, ""jaccard"": 0.504}, {""atom"": ""ACT.build"", ""overlap"": 1066, ""jaccard"": 0.557}, {""atom"": ""FND.transformation"", ""overlap"": 808, ""jaccard"": 0.211}, {""atom"": ""CHG.grow"", ""overlap"": 733, ""jaccard"": 0.331}, {""atom"": ""CHG.end"", ""overlap"": 714, ""jaccard"": 0.336}]",ACT.destroy,31,0,22,1498,1851,1872
ACT.descend,ACT,6,15,713,False,False,7.6,91.7,0.7,0,81.0,7,1.0,13.97,28,231,21,0,CHG.retreat,465,0.591,"[{""atom"": ""CHG.retreat"", ""overlap"": 465, ""jaccard"": 0.591}, {""atom"": ""FND.transformation"", ""overlap"": 349, ""jaccard"": 0.112}, {""atom"": ""ACT.make"", ""overlap"": 331, ""jaccard"": 0.166}, {""atom"": ""ACT.rise"", ""overlap"": 322, ""jaccard"": 0.336}, {""atom"": ""SOC.pass"", ""overlap"": 321, ""jaccard"": 0.391}]",ACT.ascend,299,0,359,482,692,713
