atom_id,temporal.emergence,temporal.establishment,temporal.peak,temporal.decline,temporal.dissolution,scale.individual,scale.group,scale.institution,scale.civilization,scale.universal,ontological.material,ontological.informational,ontological.relational,ontological.structural,ontological.semantic,interconnection.independent,interconnection.catalytic,interconnection.chained,interconnection.synchronous,interconnection.resonant,resonance.superficial,resonance.structural,resonance.essential,resonance.existential,symmetry.destructive,symmetry.inclusive,symmetry.transformative,symmetry.generative,symmetry.cyclical,lawfulness.causal,lawfulness.emergent,lawfulness.necessary,lawfulness.contingent,agency.reactive,agency.adaptive,agency.intentional,agency.autonomous,boundary.permeable,boundary.selective,boundary.rigid,boundary.dissolved,potential.latent,potential.activated,potential.kinetic,potential.exhausted,identity.generic,identity.specific,identity.archetypal
ABS.bound,0.005273,0.008182,0.000000,0.000000,0.000000,0.128267,0.000000,0.000000,0.000000,0.000000,0.189156,0.002419,0.061669,0.044973,0.018452,0.009241,0.006987,0.012609,0.000647,0.002945,0.003832,0.018282,0.097349,0.001135,0.019195,0.001271,0.019795,0.001804,0.007419,0.000000,0.001506,0.002997,0.005792,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ABS.exempt,0.000905,0.004664,0.000000,0.000000,0.000000,0.404288,0.000000,0.000000,0.000000,0.000000,0.000308,0.002885,0.110529,0.030248,0.053583,0.025230,0.005887,0.003066,0.000308,0.000479,0.000959,0.004356,0.066167,0.000788,0.002456,0.012701,0.005677,0.001805,0.000308,0.000000,0.000308,0.000308,0.010074,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ABS.foolish,0.001666,0.000374,0.000000,0.000000,0.000000,0.357758,0.000000,0.000000,0.000000,0.000000,0.009631,0.002726,0.003844,0.001974,0.101376,0.007312,0.002570,0.003165,0.000334,0.000594,0.021655,0.001940,0.064773,0.000324,0.294710,0.000324,0.000866,0.000381,0.000465,0.000000,0.000732,0.000324,0.006987,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ABS.other,0.011778,0.000520,0.000000,0.000000,0.000000,0.083151,0.000000,0.000000,0.000000,0.000000,0.026697,0.003077,0.290326,0.003663,0.091307,0.022346,0.006866,0.000556,0.000562,0.006995,0.007152,0.006926,0.134969,0.005068,0.001846,0.006679,0.034126,0.011561,0.000520,0.000000,0.005794,0.003452,0.002859,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ABS.release,0.003492,0.000782,0.000000,0.000000,0.000000,0.147038,0.000000,0.000000,0.000000,0.000000,0.038781,0.012576,0.061716,0.018955,0.043352,0.004042,0.037913,0.005650,0.000544,0.002907,0.001651,0.003532,0.107231,0.003703,0.006816,0.000534,0.145123,0.010657,0.000534,0.000000,0.000388,0.000388,0.005721,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ABS.responsibility,0.001236,0.004126,0.000000,0.000000,0.000000,0.161974,0.000000,0.000000,0.000000,0.000000,0.000282,0.001958,0.071504,0.009011,0.101863,0.001094,0.003693,0.010364,0.000297,0.002312,0.000284,0.002407,0.120367,0.001461,0.010880,0.004760,0.003302,0.002082,0.000426,0.000000,0.000282,0.002813,0.001877,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ABS.self,0.000116,0.001004,0.000000,0.000000,0.000000,0.310470,0.000000,0.000000,0.000000,0.000000,0.052748,0.003762,0.001154,0.001471,0.052348,0.039539,0.003473,0.000825,0.000108,0.001933,0.002390,0.000386,0.245747,0.008588,0.000931,0.000111,0.039386,0.000309,0.000108,0.000000,0.000108,0.003949,0.000904,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ABS.wise,0.000591,0.002940,0.000000,0.000000,0.000000,0.270846,0.000000,0.000000,0.000000,0.000000,0.011175,0.008042,0.003786,0.003456,0.127719,0.011300,0.007586,0.000521,0.000335,0.004681,0.001001,0.002552,0.113130,0.000665,0.024349,0.000744,0.010694,0.001896,0.000335,0.000000,0.000427,0.001432,0.001994,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ACT.abandon,0.000892,0.000617,0.000000,0.000000,0.000000,0.215245,0.000000,0.000000,0.000000,0.000000,0.077400,0.001314,0.043323,0.002623,0.056757,0.011380,0.009366,0.006120,0.000584,0.001098,0.004657,0.003600,0.109298,0.002216,0.138468,0.000584,0.055163,0.001030,0.000584,0.000000,0.000621,0.000584,0.020690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ACT.agitate,0.005612,0.000574,0.000000,0.000000,0.000000,0.074830,0.000000,0.000000,0.000000,0.000000,0.226452,0.001307,0.023956,0.002434,0.013612,0.001583,0.116689,0.005581,0.002893,0.003028,0.010436,0.006526,0.078602,0.000722,0.036386,0.000574,0.075360,0.002476,0.000981,0.000000,0.002460,0.000574,0.011319,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ACT.arrive,0.010246,0.005147,0.000000,0.000000,0.000000,0.123546,0.000000,0.000000,0.000000,0.000000,0.330829,0.000954,0.005224,0.003457,0.019800,0.013301,0.007185,0.009058,0.000961,0.000659,0.006733,0.004640,0.057992,0.000593,0.003751,0.020058,0.020936,0.001720,0.001152,0.000000,0.000787,0.001800,0.010067,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ACT.ascend,0.001526,0.000540,0.000000,0.000000,0.000000,0.167262,0.000000,0.000000,0.000000,0.000000,0.296744,0.001802,0.001630,0.003846,0.019175,0.037433,0.003411,0.003199,0.000540,0.000540,0.003756,0.006940,0.086308,0.000700,0.002935,0.000540,0.009633,0.003182,0.000540,0.000000,0.000540,0.000540,0.001099,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ACT.build,0.015065,0.003866,0.000000,0.000000,0.000000,0.059510,0.000000,0.000000,0.000000,0.000000,0.195566,0.019140,0.014436,0.046679,0.016324,0.006568,0.013179,0.007400,0.000604,0.002415,0.003362,0.014607,0.033970,0.000834,0.010717,0.001385,0.018403,0.108630,0.001500,0.000000,0.002048,0.000705,0.005389,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ACT.calm,0.000375,0.001032,0.000000,0.000000,0.000000,0.316073,0.000000,0.000000,0.000000,0.000000,0.017000,0.000390,0.070877,0.000717,0.060997,0.001281,0.051665,0.000602,0.000445,0.008892,0.001728,0.002344,0.117310,0.000483,0.000372,0.008050,0.066500,0.003618,0.000367,0.000000,0.000367,0.000367,0.004252,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ACT.create,0.056230,0.001910,0.000000,0.000000,0.000000,0.059516,0.000000,0.000000,0.000000,0.000000,0.085119,0.016600,0.008210,0.013867,0.020613,0.009413,0.020252,0.003919,0.000348,0.001241,0.002762,0.003470,0.031169,0.004936,0.010287,0.000341,0.005382,0.237970,0.000683,0.000000,0.006010,0.000290,0.002869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ACT.descend,0.001438,0.001925,0.000000,0.000000,0.000000,0.102360,0.000000,0.000000,0.000000,0.000000,0.382334,0.000475,0.004386,0.005103,0.014806,0.022935,0.006401,0.030410,0.000585,0.000897,0.010805,0.006117,0.068592,0.001484,0.030331,0.000595,0.006712,0.002907,0.001896,0.000000,0.001118,0.004599,0.005585,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
