word,pos,assigned_atom,cos_self,cos_top2,top2_atom,margin,margin_local,local_top_atom,l2_self,focus_rate
tack,n,SPC.direction,0.0,0.0,ABS.bound,0.0,-0.801722,CHG.advance,7.869573,0.0
figure,n,FND.number,0.0,0.0,ABS.bound,0.0,-0.781061,FND.uninformed,10.234396,0.8752
glide,n,SOC.homeless,0.12815,0.665726,REL.together,-0.537576,-0.780615,MAT.naked,11.099261,0.5436
survey,n,BOD.eye,0.166763,0.708909,FND.information,-0.542145,-0.766726,PRP.strong,14.304959,0.4326
advance,n,CHG.advance,0.161661,0.465811,TIM.indefinite,-0.30415,-0.742837,CHG.end,9.491821,0.9149
ground,n,ECO.earn,0.0,0.0,ABS.bound,0.0,-0.741316,SOC.pass,10.756791,0.9639
pitch,n,ELM.sky,0.0,0.0,ABS.bound,0.0,-0.673439,ELM.wind,9.20892,0.666
venture,n,SOC.pass,0.242956,0.567818,PRP.difficult,-0.324862,-0.6302,CHG.retreat,11.372874,0.6193
dawn,n,TIM.period,0.106552,0.559671,TIM.appear,-0.453119,-0.622515,TIM.moment,12.056704,0.7813
incapable,adj,PRP.impossible,0.296766,0.913373,ACT.sit,-0.616607,-0.56875,PRP.small,12.170574,0.6228
predict,v,FND.mind,0.227304,0.781102,FND.information,-0.553798,-0.553798,FND.information,14.966589,0.6495
reprint,v,FND.labor,0.265704,0.816758,FND.information,-0.551054,-0.551054,FND.information,12.77003,0.8146
tittle-tattle,n,COM.speak,0.196301,0.367276,PRP.shallow,-0.170975,-0.550804,COM.question,17.333517,0.558
ally,n,SOC.nation,0.391029,0.667815,REL.together,-0.276787,-0.528942,COM.cooperate,14.568496,0.6251
pledge,n,MAT.drink,0.278122,0.649524,STA.peace,-0.371402,-0.527009,PER.touch,12.455619,0.7264
refer,v,FND.labor,0.390531,0.916836,FND.information,-0.526304,-0.526305,FND.information,10.519649,0.6805
stool,n,COG.learn,0.179671,0.839051,ELM.water,-0.65938,-0.526,COG.separate,13.347705,0.8995
muff,n,COG.forget,0.349577,0.856328,PRP.wet,-0.506751,-0.525361,VAL.incorrect,11.966484,0.4913
vernal,adj,PRP.young,0.236765,0.835275,ELM.earth,-0.59851,-0.524048,PRP.cold,15.810754,0.7119
trade union,n,SOC.individual,0.172012,0.690195,SOC.family,-0.518183,-0.518183,SOC.family,17.948561,0.5362
riddle,n,COG.confusion,0.406113,0.644629,FND.languageless,-0.238516,-0.507785,COG.mindless,11.179655,0.8725
alternate,adj,REL.same,0.182997,0.633819,TIM.period,-0.450822,-0.505884,SOC.family,10.818938,0.1789
