word,pos,assigned_atom,cos_self,cos_top2,top2_atom,margin,l2_self,focus_rate,re_observed
exposit,v,CHG.grow,0.04978,0.781102,FND.information,-0.731322,12.059577,0.6183,True
peaceful,adj,STA.peace,0.064514,0.777348,PRP.wide,-0.712834,13.46728,0.6916,True
copy,v,ACT.make,0.074368,0.781102,FND.information,-0.706734,14.399861,0.8752,True
plan of attack,n,SOC.attack,0.077585,0.781102,FND.information,-0.703516,15.39113,0.6223,True
Thatch,n,COM.teach,0.188617,0.855669,EXS.matter,-0.667052,13.773501,0.8162,False
stool,n,COG.learn,0.179671,0.839051,ELM.water,-0.65938,13.347705,0.8995,False
stamp,v,SOC.family,0.133533,0.788957,ELM.earth,-0.655425,15.014406,0.8611,True
uncomplicated,adj,PRP.easy,0.054356,0.706291,REL.different,-0.651934,8.968103,0.6462,True
vacation spot,n,SOC.nation,0.217277,0.868454,ELM.earth,-0.651177,13.296012,0.985,False
wintry,adj,TIM.period,0.184935,0.835275,ELM.earth,-0.65034,11.5157,0.6921,True
fill in,v,REL.same,0.158655,0.775354,ECO.currency,-0.616699,14.376877,0.8064,False
choker,n,COG.forget,0.24696,0.863583,ELM.earth,-0.616623,14.240672,0.9908,False
incapable,adj,PRP.impossible,0.296766,0.913373,ACT.sit,-0.616607,12.170574,0.6228,True
clapper,n,SOC.praise,0.258108,0.870011,ELM.water,-0.611903,13.951747,0.9896,False
malediction,n,ACT.build,0.24346,0.855347,VAL.evil,-0.611887,16.605579,0.8086,False
pod,n,COG.learn,0.141629,0.748124,REL.together,-0.606495,15.871677,0.4945,True
transcendental number,n,LOG.unreason,0.057375,0.657037,FND.information,-0.599662,12.377399,0.3706,True
vernal,adj,PRP.young,0.236765,0.835275,ELM.earth,-0.59851,15.810754,0.7119,True
solvent,n,COG.know,0.283096,0.880472,ELM.water,-0.597376,14.334154,0.8726,False
specify,v,CHG.grow,0.138729,0.733841,FND.information,-0.595113,11.910494,0.4838,False
topic,n,EXS.matter,0.279814,0.872184,VAL.sacred,-0.59237,16.098274,0.8157,False
ostracism,n,ACT.move,0.270824,0.854127,COM.conflict,-0.583303,14.977457,0.6751,False
constitutionalize,v,ACT.go,0.308991,0.889626,WLD.culture,-0.580635,21.383164,0.353,False
literacy,n,WLD.technique,0.203318,0.781102,FND.information,-0.577784,11.566223,0.8392,True
shrubbery,n,SOC.nation,0.301067,0.877084,ELM.earth,-0.576017,12.647346,0.9883,False
indexing,n,ACT.give,0.228753,0.804563,FND.information,-0.57581,12.190681,0.7396,False
game bird,n,FND.play,0.285454,0.859329,ELM.earth,-0.573875,10.596203,0.7397,False
FTP,n,SOC.homeless,0.039718,0.609111,ACT.receive,-0.569393,10.079612,0.6247,True
other,adj,TIM.past,0.160004,0.728584,PRP.wide,-0.56858,12.291665,0.666,True
present,adj,WLD.nonscience,0.290137,0.856753,ACT.emit,-0.566616,14.728803,0.7989,True
damnation,n,ACT.build,0.333264,0.899266,PRP.impossible,-0.566003,16.636246,0.6798,False
some,adj,PRP.multiple,0.269296,0.835275,ELM.earth,-0.565979,9.251597,0.857,True
drought,n,TIM.period,0.194395,0.75984,ECO.waste,-0.565444,14.166729,0.6368,True
backup,n,REL.same,0.273803,0.83647,FND.information,-0.562668,12.996938,0.8149,False
geographical,adj,VAL.truth,0.239635,0.800282,ELM.earth,-0.560647,12.86195,0.5904,False
annual,adj,EXS.being,0.205035,0.762919,ELM.night,-0.557884,13.943175,0.763,False
turn,n,FND.number,0.013385,0.569972,ELM.night,-0.556587,11.794025,0.8098,True
famine,n,EMO.wish,0.316821,0.873227,PRP.murky,-0.556406,12.652113,0.6574,False
inaccurate,adj,SPC.outside,0.297058,0.85185,FND.information,-0.554791,12.240096,0.9138,False
lick,v,COG.enlightenment,0.352675,0.907194,ACT.emit,-0.554519,12.704077,0.0761,False
predict,v,FND.mind,0.227304,0.781102,FND.information,-0.553798,14.966589,0.6495,True
floor,n,VAL.correct,0.305149,0.856995,FND.spatiality,-0.551847,14.15487,0.748,False
reprint,v,FND.labor,0.265704,0.816758,FND.information,-0.551054,12.77003,0.8146,False
dullard,n,FND.transformation,0.308192,0.857595,ABS.foolish,-0.549403,16.792125,0.5821,False
young,adj,PRP.old,0.180929,0.730198,CHG.begin,-0.549269,13.484538,0.9186,False
ascomycetous,adj,EXS.being,0.286571,0.835275,ELM.earth,-0.548704,12.374048,0.6996,True
micro-organism,n,EXS.being,0.286571,0.835275,ELM.earth,-0.548704,11.374485,0.8032,True
wedding night,n,ELM.night,0.41119,0.958657,EMO.forgiveness,-0.547468,21.42039,0.4349,False
indexer,n,ACT.give,0.191484,0.73877,FND.information,-0.547286,14.429825,0.789,False
survey,n,BOD.eye,0.166763,0.708909,FND.information,-0.542145,14.304959,0.4326,False
FTP,n,ACT.move,0.332485,0.871437,FND.history,-0.538952,15.912895,0.5801,False
bigeminal,adj,PRP.multiple,0.031573,0.569972,ELM.night,-0.538399,10.642731,0.7629,True
material,adj,VAL.profane,0.322367,0.860009,PRP.bright,-0.537643,12.631437,0.9762,False
glide,n,SOC.homeless,0.12815,0.665726,REL.together,-0.537576,11.099261,0.5436,True
unhallowed,adj,VAL.profane,0.378193,0.913373,ACT.sit,-0.53518,11.434377,0.7316,True
meshing,n,SOC.homeless,0.171449,0.706291,REL.different,-0.534842,11.259215,0.7629,True
pulse,v,SOC.homeless,0.171449,0.706291,REL.different,-0.534842,10.257911,0.7451,True
caption,n,ACT.give,0.324774,0.858286,FND.information,-0.533512,11.921603,0.7415,False
assorted,adj,ABS.other,0.31593,0.848902,ACT.sit,-0.532972,11.918384,0.4237,True
Lappland,n,REL.same,0.346927,0.878567,PRP.wide,-0.53164,10.854659,0.7497,False
soak,n,COM.conduct,0.323524,0.854245,PRP.shallow,-0.530721,8.271991,0.1428,False
refer,v,FND.labor,0.390531,0.916836,FND.information,-0.526304,10.519649,0.6805,False
designing,n,ACT.create,0.309847,0.835275,ELM.earth,-0.525428,14.47144,0.9005,True
infinite,n,FND.spatiality,0.357422,0.880968,VAL.sacred,-0.523545,14.985139,0.577,False
poll,v,ACT.obtain,0.217127,0.740556,FND.information,-0.523429,10.456973,0.4406,False
bender,n,FND.transformation,0.400306,0.922346,WLD.artless,-0.52204,18.723436,0.6303,False
extraneous,adj,SPC.outside,0.277738,0.799769,FND.uninformed,-0.522031,13.625786,0.584,True
affair,n,EXS.matter,0.297648,0.818296,ABS.foolish,-0.520648,11.591414,0.0287,False
assess,v,SOC.official,0.214451,0.734818,FND.information,-0.520367,13.390254,0.5675,True
exemplify,v,CHG.grow,0.325338,0.844254,VAL.sacred,-0.518916,10.985599,0.5271,False
trade union,n,SOC.individual,0.172012,0.690195,SOC.family,-0.518183,17.948561,0.5362,False
signal,v,PRP.sharp,0.353992,0.872015,FND.uninformed,-0.518023,13.375792,0.724,True
coy,adj,TIM.indefinite,0.336333,0.853993,SOC.request,-0.51766,8.928438,0.5169,True
snake oil,n,ELM.water,0.203691,0.719568,VAL.falsehood,-0.515878,12.339741,0.3292,False
twinkling,n,TIM.moment,0.24038,0.753789,ELM.earth,-0.513408,9.528206,0.6462,True
res judicata,n,EXS.matter,0.24085,0.752666,FND.numberless,-0.511816,14.745789,0.6387,False
territorial waters,n,ELM.water,0.235205,0.747013,SOC.family,-0.511808,15.438493,0.4768,False
evaporate,v,COM.conduct,0.397414,0.908843,PRP.dirty,-0.511428,8.598373,0.4489,False
lobby,n,SOC.request,0.370645,0.880506,EXS.matter,-0.509861,12.923101,0.9767,False
journalistic,adj,SOC.work,0.325925,0.835122,FND.information,-0.509197,12.365866,0.9863,False
momentaneous,adj,TIM.period,0.347334,0.855441,BOD.face,-0.508107,10.904597,0.7402,True
area,n,SOC.nation,0.371819,0.878687,ELM.earth,-0.506868,12.253207,0.7117,False
muff,n,COG.forget,0.349577,0.856328,PRP.wet,-0.506751,11.966484,0.4913,False
flash,n,TIM.moment,0.353184,0.859384,PRP.shallow,-0.5062,8.732719,0.7342,False
neighbourly,adj,EXS.being,0.39235,0.897161,REL.together,-0.504811,15.794987,0.6126,False
sustainable,adj,CHG.stay,0.065915,0.569972,ELM.night,-0.504057,12.594097,0.5931,True
comradely,adj,SOC.individual,0.377868,0.881514,REL.same,-0.503646,15.94596,0.6587,False
reference,n,ACT.move,0.4164,0.918393,COM.announce,-0.501993,17.899391,0.6978,False
sec,n,TIM.moment,0.318985,0.819912,FND.information,-0.500927,11.19668,0.6395,False
date,n,ACT.exit,0.335271,0.83615,FND.number,-0.50088,14.884956,0.8005,False
diversify,v,PRP.narrow,0.325438,0.826293,STA.peace,-0.500855,20.612351,0.3525,False
standard,n,SOC.homeless,0.21378,0.714415,COM.announce,-0.500635,9.266249,0.5001,False
headline,n,ACT.give,0.388365,0.888745,FND.information,-0.50038,14.121905,0.8473,False
dull,v,FND.transformation,0.090108,0.587553,PRP.dirty,-0.497445,15.365033,0.4436,False
docket,n,ACT.move,0.204692,0.7012,FND.information,-0.496509,17.0618,0.733,False
bring up,v,SOC.homeless,0.19778,0.692403,REL.together,-0.494623,11.665395,0.581,True
extract,v,ACT.create,0.278525,0.772946,ACT.destroy,-0.49442,15.665045,0.8339,False
tribalism,n,WLD.nonscience,0.212589,0.706291,REL.different,-0.493701,11.76392,0.6333,True
publicize,v,SOC.individual,0.211976,0.704294,FND.information,-0.492318,17.983026,0.743,False
Hinayanist,n,WLD.religion,0.219749,0.711506,WLD.unskilled,-0.491757,10.971253,0.5711,True
salute,v,MAT.drink,0.317135,0.807635,REL.together,-0.4905,11.332615,0.4153,False
displease,v,EMO.joy,0.323383,0.811869,COM.conflict,-0.488487,12.770542,0.4882,False
slanguage,n,FND.language,0.078274,0.566437,FND.ahistorical,-0.488164,11.343042,0.802,True
house,n,FND.play,0.379753,0.867778,ELM.earth,-0.488026,10.356222,0.9402,False
chorus,n,BOD.mouth,0.289578,0.777183,REL.together,-0.487606,19.6025,0.5762,False
duck soup,n,ELM.wind,0.295106,0.782163,VAL.sacred,-0.487056,12.571149,0.7289,True
pennant,n,EMO.respect,0.357488,0.844513,ELM.earth,-0.487025,13.119226,0.984,False
piece of cake,n,ELM.wind,0.261672,0.747918,COG.intention,-0.486246,13.441385,0.6875,True
shallow,n,FND.transformation,0.295423,0.780782,PRP.shallow,-0.485359,15.213189,0.8921,False
menopausal,adj,FND.time,0.42103,0.904657,STA.healing,-0.483628,16.563043,0.5929,True
confine,v,ABS.release,0.455214,0.938429,PER.blind,-0.483215,16.315548,0.4933,True
moon about,v,EXS.being,0.411589,0.894719,PRP.shallow,-0.48313,10.30625,0.3861,False
oxygenate,v,COM.conduct,0.410015,0.892952,NAT.sea,-0.482937,10.182891,0.6482,False
radiation,n,COM.conduct,0.389035,0.871677,ECO.waste,-0.482641,9.651644,0.7168,False
etymologize,v,WLD.science,0.345245,0.826416,PRP.easy,-0.481171,12.268356,0.5904,True
preposition,n,ACT.move,0.367779,0.848182,ABS.other,-0.480403,15.37232,0.5905,False
